(0, 0, 32; (0, 0, 36; (0, 0, 68; (0, 0, 69; (0, 0, 67; (0, 0, 89; (0, 0, 93; (0, 0, 118; (0, 0, 95; (0, 0, 103; (0, 0, 127; (0, 0, 79; (0, 0, 114; (0, 0, 111; (0, 0, 110; (0, 0, 134; (0, 0, 97; (0, 0, 124; (0, 0, 382; (50, 58, 359; (62, 52, 319; (0, 0, 249; (0, 0, 94; (0, 0, 185; (0, 0, 448; (0, 0, 239; (0, 0, 110; (0, 0, 77; (0, 0, 120; (0, 0, 219; (0, 0, 296; (0, 0, 241; (0, 0, 100; (0, 0, 117; (0, 0, 102; (0, 0, 71; (0, 0, 85; (0, 0, 87; (0, 0, 96; (0, 0, 76; (0, 0, 0)
(0, 0, 49; (0, 0, 44; (0, 0, 53; (0, 0, 71; (0, 0, 83; (0, 0, 81; (0, 0, 102; (0, 0, 98; (0, 0, 103; (0, 0, 115; (0, 0, 89; (0, 0, 113; (0, 0, 106; (0, 0, 99; (0, 0, 104; (0, 0, 109; (0, 0, 97; (0, 0, 115; (0, 0, 279; (0, 0, 364; (0, 0, 254; (0, 0, 164; (0, 0, 119; (0, 0, 55; (0, 0, 98; (0, 0, 163; (0, 0, 107; (0, 0, 110; (0, 0, 79; (0, 0, 186; (0, 0, 167; (0, 0, 600; (0, 0, 100; (0, 0, 73; (0, 0, 181; (0, 0, 59; (0, 0, 69; (0, 0, 94; (0, 0, 71; (0, 0, 65; (0, 0, 0)
(0, 0, 32; (0, 0, 63; (0, 0, 69; (0, 0, 52; (0, 0, 65; (0, 0, 70; (0, 0, 84; (0, 0, 75; (0, 0, 95; (0, 0, 133; (0, 0, 77; (0, 0, 116; (0, 0, 139; (0, 0, 87; (0, 0, 68; (0, 0, 86; (0, 0, 82; (0, 0, 101; (0, 0, 95; (0, 0, 161; (0, 0, 137; (0, 0, 78; (0, 0, 91; (0, 0, 69; (0, 0, 117; (0, 0, 91; (0, 0, 88; (0, 0, 85; (0, 0, 89; (0, 0, 110; (0, 0, 263; (-14, -28, 372; (0, 0, 340; (0, 0, 90; (0, 0, 282; (0, 0, 71; (0, 0, 84; (0, 0, 83; (0, 0, 63; (0, 0, 71; (0, 0, 0)
(0, 0, 26; (0, 0, 51; (0, 0, 46; (0, 0, 51; (0, 0, 81; (0, 0, 68; (0, 0, 102; (0, 0, 101; (0, 0, 109; (0, 0, 98; (0, 0, 129; (0, 0, 99; (0, 0, 115; (0, 0, 119; (0, 0, 115; (0, 0, 104; (0, 0, 101; (0, 0, 110; (0, 0, 79; (0, 0, 88; (0, 0, 87; (0, 0, 111; (0, 0, 158; (0, 0, 56; (0, 0, 64; (0, 0, 73; (0, 0, 132; (0, 0, 88; (0, 0, 74; (0, 0, 91; (0, 0, 282; (-10, -24, 274; (0, 0, 461; (0, 0, 103; (0, 0, 76; (0, 0, 75; (0, 0, 77; (0, 0, 125; (0, 0, 86; (0, 0, 66; (0, 0, 0)
(0, 0, 33; (0, 0, 39; (0, 0, 54; (0, 0, 59; (0, 0, 58; (0, 0, 92; (0, 0, 75; (0, 0, 96; (0, 0, 73; (0, 0, 111; (0, 0, 87; (0, 0, 108; (0, 0, 86; (0, 0, 115; (0, 0, 110; (0, 0, 102; (0, 0, 120; (0, 0, 102; (0, 0, 91; (0, 0, 75; (0, 0, 85; (0, 0, 120; (0, 0, 91; (0, 0, 101; (0, 0, 84; (0, 0, 111; (0, 0, 123; (0, 0, 86; (0, 0, 94; (0, 0, 93; (0, 0, 188; (-2, -6, 530; (-2, -6, 470; (0, 0, 104; (0, 0, 97; (0, 0, 68; (0, 0, 88; (0, 0, 79; (0, 0, 82; (0, 0, 66; (0, 0, 0)
(0, 0, 34; (0, 0, 39; (0, 0, 66; (0, 0, 61; (0, 0, 70; (0, 0, 60; (0, 0, 75; (0, 0, 132; (0, 0, 111; (0, 0, 117; (0, 0, 100; (0, 0, 122; (0, 0, 114; (0, 0, 102; (0, 0, 104; (0, 0, 104; (0, 0, 103; (0, 0, 102; (0, 0, 104; (0, 0, 120; (0, 0, 53; (0, 0, 73; (0, 0, 96; (0, 0, 81; (0, 0, 57; (0, 0, 59; (0, 0, 112; (0, 0, 81; (0, 0, 104; (0, 0, 97; (0, 0, 170; (0, 2, 699; (0, 0, 390; (0, 0, 236; (0, 0, 78; (0, 0, 73; (0, 0, 77; (0, 0, 85; (0, 0, 74; (0, 0, 83; (0, 0, 0)
(0, 0, 31; (0, 0, 32; (0, 0, 49; (0, 0, 68; (0, 0, 87; (0, 0, 71; (0, 0, 101; (0, 0, 90; (0, 0, 107; (0, 0, 80; (0, 0, 106; (0, 0, 120; (0, 0, 91; (0, 0, 75; (0, 0, 124; (0, 0, 89; (0, 0, 94; (0, 0, 114; (0, 0, 114; (0, 0, 109; (0, 0, 80; (0, 0, 87; (0, 0, 75; (0, 0, 111; (0, 0, 91; (0, 0, 66; (0, 0, 164; (0, 0, 92; (0, 0, 102; (0, 0, 178; (-14, 2, 238; (0, 2, 661; (0, 0, 321; (0, 0, 350; (0, 0, 118; (0, 0, 83; (0, 0, 72; (0, 0, 81; (0, 0, 79; (0, 0, 76; (0, 0, 0)
(0, 0, 22; (0, 0, 35; (0, 0, 26; (0, 0, 68; (0, 0, 83; (0, 0, 69; (0, 0, 108; (0, 0, 94; (0, 0, 129; (0, 0, 72; (0, 0, 96; (0, 0, 103; (0, 0, 93; (0, 0, 98; (0, 0, 91; (0, 0, 96; (0, 0, 133; (0, 0, 106; (0, 0, 139; (0, 0, 117; (0, 0, 109; (0, 0, 51; (0, 0, 98; (0, 0, 142; (0, 0, 188; (0, 0, 229; (0, 0, 111; (0, 0, 205; (-2, -2, 359; (0, -22, 255; (-6, -20, 236; (-2, -8, 969; (-2, 2, 358; (0, 0, 486; (0, 0, 257; (0, 0, 59; (0, 0, 71; (0, 0, 83; (0, 0, 82; (0, 0, 85; (0, 0, 0)
(0, 0, 30; (0, 0, 44; (0, 0, 44; (0, 0, 48; (0, 0, 91; (0, 0, 92; (0, 0, 106; (0, 0, 77; (0, 0, 119; (0, 0, 67; (0, 0, 93; (0, 0, 88; (0, 0, 108; (0, 0, 112; (0, 0, 131; (0, 0, 98; (0, 0, 94; (0, 0, 115; (0, 0, 72; (0, 0, 83; (0, 0, 80; (0, 0, 107; (0, 0, 134; (0, 0, 224; (0, -4, 555; (0, 0, 327; (0, 0, 205; (-6, 12, 269; (34, 52, 721; (-20, -14, 392; (-6, -30, 250; (-2, -18, 1756; (0, 0, 319; (0, 0, 598; (-26, 0, 458; (0, 0, 83; (0, 0, 76; (0, 0, 72; (0, 0, 77; (0, 0, 88; (0, 0, 0)
(0, 0, 24; (0, 0, 39; (0, 0, 33; (0, 0, 50; (0, 0, 82; (0, 0, 76; (0, 0, 112; (0, 0, 100; (0, 0, 68; (0, 0, 43; (0, 0, 67; (0, 0, 91; (0, 0, 136; (0, 0, 112; (0, 0, 139; (0, 0, 108; (0, 0, 94; (0, 0, 133; (0, 0, 95; (0, 0, 90; (0, 0, 87; (0, 0, 71; (0, 0, 135; (0, 0, 512; (30, 18, 431; (0, 0, 494; (0, 0, 674; (-12, 20, 330; (-30, 20, 316; (-42, 48, 418; (-42, -30, 728; (-2, 14, 1382; (0, -14, 375; (0, -14, 523; (0, 0, 571; (0, 0, 79; (0, 0, 85; (0, 0, 75; (0, 0, 89; (0, 0, 74; (0, 0, 0)
